What is the morphology of the herpes virion?,Complex with a membrane and tegument and icosahedron core,Baggy virion with over 50 types of spikes,Compact icosahedron structure,Small round virus,C
Wirth (1938) said that social relationships in the urban way of life were 'segmental' because:,they were confined to particular areas of the city,"people knew each other only through specific, situational roles, and not as whole, rounded individuals",there were distinctive patterns of activity for each social class,they were based on face to face interaction with close friends and family,B
The view of anti-psychiatrists like Scheff was that mental illness was:,"a form of deviance, occurring when people challenged taken for granted expectations about interaction",a socially negotiated 'insanity role' into which anyone could drift,shaped by the processes of interaction taking place within the family and community,all of the above,D
"Which of the following statements is (are) true for a Maxwell-Boltzmann description of an ideal gas of atoms in equilibrium at temperature T?
I. The average velocity of the atoms is zero.
II. The distribution of the speeds of the atoms has a maximum at v = 0.
III. The probability of finding an atom with zero kinetic energy is zero.",I only,II only,I and II,I and III,D
Which of the following is NOT a correct statement concerning elastin?,It is a component of large blood vessels.,Its secondary structure consists primarily of alpha helices.,It is secreted into the extracellular matrix of tissues.,It is a globular protein found in connective tissue.,D
All of the following statements about muscle contraction are true EXCEPT:,The ends of actin filaments move closer together.,The length of myosin filaments does not change.,Calcium-troponin binding precedes actin-myosin binding.,Calcium-tropomyosin binding precedes actin-myosin binding.,D
Descartes reasons that the very fact that he is thinking shows that _____.,he does not exist,he is not being deceived,he exists,he is dreaming,C
Interest theories of the good define goodness in terms of:,approval or desire.,benefit to oneself.,the consequences of one’s actions.,prima facie duties.,A
The existence of a form of mental illness known as multiple personality disorder seems to suggest that _____.,the existence of the mind is a delusion,the mind is divisible,the mind is indivisible,mental illness is incurable,B
Brandt views his rule-utilitarianism as a:,normative ethical thesis.,metaethical thesis.,purely descriptive thesis.,both a and b.,A
Which of the following is an example of a stateless nation?,Germany,Israel,Palestine,Romania,C
"The rehabilitation of old, rundown inner-city neighborhoods by middle- and high-income people is called",urbanization.,gentrification.,suburbanization.,multiplier effect.,B
" The ""double standard"" with which states and nonstate entities are judged, according to Andrew Valls, is that",violence by nonstate entities is more easily accepted than state violence.,"state violence is treated differently from nonmilitary action by the state (e.g., economic sanctions).",state violence is more easily accepted than violence by nonstate entities.,"state violence is evaluated via just war theory, but violence by nonstate entities is evaluated via consequentialism.",C
" To say that the consequentialist account of right action is a maximizing conception is to say that, according to the account,",we are obligated to convince as many people as possible to accept consequentialism.,we ought to perform that action the consequences of which will have at least as much overall value as any of the alternative actions.,we are to perform that action the consequences of which will have the least overall value compared to any of the alternative actions.,none of the above,B
" On Huemer's view, it is wrong to think that",the government should prohibit things that do not degrade our dignity.,the government should prohibit things that on the basis of likely outcomes.,the government should prohibit things that cause people to harm themselves.,the government should prohibit things that fail to realize certain basic values.,C
 Fine argues that states are not clubs because,it is not possible today for would-be immigrants to get together to set up a state of their own.,exclusion from a golf club is unlikely to have a devastating impact on the life of a would-be member.,both A and B,neither A nor B,C
The ticket prices to a play are $5.00 for teachers and $3.00 for students. How much will it cost for a group of 71 students and 5 teachers to see the play?,$228.00 ,$238.00 ,$370.00 ,$380.00 ,B
Solve 3 over 2 * w = 66.,33,44,88,99,B
Use rounding to estimate the product of 8.2 • 6.43 to the nearest whole number.,48,56,62,24,B
"If 50% of a number is 20, what is 75% of the number?",8,15,30,45,C
Collin spent 7 hours volunteering last month. Vanessa spent 21 hours volunteering last month. Which equation correctly shows how many times more hours Vanessa spent volunteering last month than Collin?,7 × 3 = 21,7 × 14 = 21,21 × 3 = 63,21 × 7 = 147,A
Which of the following are the three broad groups of consumer segmentation criteria?,"Behavioural, psychological, and profile criteria.","Behavioural-, gender-, and industry-type variables.","Organizational size, demographic, and behavioural variables.","Psychographic, sociological, and price variables.",A
 Segmentation by benefits sought is a type of product-related segmentation:,To determine the marketer's effectiveness in satisfying the consumer.,Used to create a psychographic profile of the benefit of having the product as a common alternative.,As a post-consumption evaluation tool.,That focuses on the attributes that people seek in a product.,D
The marketing communications strategy of the marketing mix deals exclusively with:,"Engagement, audiences, and advertising.","Advertising, audiences, and responses.","Advertising, publicity, and responses","Engagement, audiences, and responses.",D
"A young adult man begins seeing a therapist and tells the therapist that he has homosexual feelings, and that he self-identifies as gay. He is plagued by feelings of worthlessness and fears that he will be subject to what his religion terms “eternal damnation”. He feels alienated from his family and friends, as he knows of no other homosexuals in his peer group or family. In the course of working with the man, the therapist helps him see that his feelings are exceptionally common among people who have recently discovered their same-sex feelings, and encourages him to attend a support group for newly “out” gay men. The therapist’s approach demonstrates which of the following phenomena?",Stereotype threat,Groupthink,Universalization,Spatial discrimination,C
How many chromosomes do all human somatic cells contain?,3,20,23,46,D
"Dr. Pavel Petrovich, a licensed psychologist, has been seeing a client in therapy for over fourteen months with no apparent change in the client's symptoms. Dr. Petrovich should:",advise the client that he is ethically obligated to terminate therapy.,raise for discussion the possibility of termination and referral to another therapist.,search the literature for discussions of similar cases that have been treated and reported by others.,continue seeing the client since fourteen months is not an unusually long time for therapy to continue without a significant change in symptoms.,B
Which of the following distinguishes Narcissistic Personality Disorder from other personality disorders,An exaggerated sense of self-importance,A fragile set of interpersonal relationships,A long-term persistent patten of impulsive egoistical behavior,Excessive emotionality and attention-seeking,A
The primary impact of the Hawthorne experiments in the Western Electric Company was in showing the effect on work performance of,physical factors such as temperature and lighting,differing pay scales for differing levels of effort,interpersonal and social factors,effective training programs at the workbench,B
"According to the literature on attribution, when people make estimates of levels of conformity, they generally tend to",overestimate both their own and other people's level of conformity,estimate correctly other people's level of conformity but underestimate their own,estimate their own level of conformity correctly bur overestimate that of others,underestimate their own level of conformity and overestimate that of others,D
"""Sherif used the “autokinetic effect"""" to study:""",the frustration-regression hypothesis.,psychological reactance.,conformity to group norms.,bases of social power.,C
The technique that is most likely to produce an immediate improvement in the behavior of a child who hits others and rips up schoolbooks is,a combination of reinforcement for appropriate behavior and mild punishment for inappropriate behavior,differential positive reinforcement,loss of privileges for misbehaving,shaping,A
"Miranda M., age 32, makes an appointment with you at the recommendation of her physician who has diagnosed her recurrent headaches as the result of stress. The woman tells you that a friend of hers was trained in self-hypnosis for tension headaches and says that she also wants training in self-hypnosis. You took a weekend workshop on hypnosis in graduate school but have not used it in your clinical practice. As an ethical psychologist, you should:",admit your lack of expertise in the use of self-hypnosis and refer the woman to another therapist.,advise the woman that the underlying cause of her headaches would probably not be dealt with by self-hypnosis and suggest that she begin individual psychotherapy.,accept the woman for treatment and begin training her in self-hypnosis after reviewing your workshop notes.,accept the woman for treatment and begin training her in self-hypnosis but obtain consultation if you encounter any problems during the course of treatment.,A
When faced with an approach-avoidance conﬂict:,"the closer we get to the goal, the stronger our desire to approach it.","the closer we get to the goal, the stronger our desire to avoid it.","regardless of our proximity to the goal, the desire to approach the goal is equal to the desire to avoid it.",the strength of our desires to approach and to avoid the goal are unaffected by our proximity to it.,B
"A national survey finds that, while most people are in favor of integration in the workplace, the majority also oppose affirmative action. This finding is best explained by which of the following? ,",the illusory correlation,the contact hypothesis,symbolic racism theory,realistic group conﬂict theory,C
"A witness testified under a state grant of immunity about statewide gambling activities being investigated by a state grand jury. Five months later, the witness was subpoenaed by a federal grand jury investigating gambling related activities. Which of the following statements is correct with respect to the witness's rights before the federal grand jury?",The witness's grant of immunity by the state would extend to all subsequent investigations.,Federal authorities have the burden of showing that they have an independent source for their evidence against the witness.,The witness's Fifth Amendment protection against double jeopardy would extend to federal prosecution.,"In order for the witness's grant of immunity to apply in the federal investigation, it must be broader than the protection afforded by his Fifth Amendment privilege against selfincrimination. ",B
"A state law requires any lawn mower sold in the state to meet a specified minimum level of fuel efficiency. A new federal statute requires all power equipment, including lawn mowers, to be labeled with energy efficiency stickers to permit purchasers to make informed choices when buying such equipment. The statute does not expressly preempt state law. Assume that no other federal statute or administrative regulation addresses the energy efficiency of power equipment. Which of the following is the best argument the state can make for the continued validity of its law? ","Congress cannot preempt state laws requiring a specified minimum level of requiring a specified minimum level of fuel efficiency for lawn mowers, because the use of such equipment is a wholly local event and, therefore, is beyond the regulatory authority vested in Congress by the commerce clause.","The law is unaffected by the federal statute, because Congress did not expressly prohibit state laws requiring power equipment to meet specified levels of fuel efficiency.","The purpose of the law is consistent with the purpose of the federal statute, enforcement of the law would not interfere with the full execution of the statute, and there is no evidence that Congress intended to preclude the states from enacting supplemental laws on this subject.","There is a very strong presumption that a specific state law on a subject normally within the state's police power prevails over a more general federal statute, because the Tenth Amendment reserves to the states primary authority over matters affecting public health, welfare, and safety.",C
"A security guard, dressed in plain clothes, was working for a discount store when a customer got into a heated argument with a cashier over the store's refund policy. Without identifying himself as a security guard, the security guard suddenly grabbed the customer's arm. The customer attempted to push the security guard away, and the security guard knocked the customer to the floor, causing injuries. The customer sued the discount store for battery on a theory of vicarious liability for the injuries caused by the security guard. The store filed an answer to the customer's complaint, asserting the affirmative defense of contributory negligence. The customer has moved to strike the affirmative defense. Traditional rules of contributory negligence apply. Should the trial court grant the customer's motion? ","No, because contributory negligence is an affirmative defense to a cause of action based on vicarious liability.","No, because the customer should have known that his argument with the cashier might provoke an action by a security guard.","Yes, because contributory negligence is not a defense to battery.","Yes, because the customer did not know that he was pushing away someone who was employed as a security guard.  ",C
"Without a warrant, police officers searched the garbage cans in the alley behind a man's house and discovered chemicals used to make methamphetamine, as well as cooking utensils and containers with the man's fingerprints on them. The alley was a public thoroughfare maintained by the city, and the garbage was picked up once a week by a private sanitation company. The items were found inside the garbage cans in plastic bags that had been tied closed and further secured with tape. The man was charged in federal court with the manufacture of methamphetamine. Did the search of the garbage cans violate the Fourth Amendment? ","No, because the man had no reasonable expectation of privacy in garbage left in the alley.","No, because the probative value of the evidence outweighs the man's modest privacy claims in his garbage.","Yes, because the alley was within the curtilage of the man's home and entry without a warrant was unconstitutional.","Yes, because there is a reasonable expectation of privacy in one's secured garbage containers.",A
"A retail store runs an advertisement in the local newspaper stating: ""Only 3 cashmere sweaters remaining; highest quality; real Polo; one grey, one maroon and one beige; on closeout, starting 9 a.m. Saturday, $5.00 each, first-come, first-served."" A store customer was the first to arrive on Saturday morning. He located the three advertised sweaters, picked them up, handed $15.00 to the clerk, and demanded all three sweaters at $5 each. The clerk stated that the store's price on each sweater was actually $50 each. The customer demanded the advertised price. Who has the superior legal position?","The customer, because the terms of the advertisement were definite enough to constitute an offer and the offer was duly accepted.","The retail store, because the terms of the advertisement were merely an invitation to make an offer, and the offer made was duly rejected by the store.","The customer, because this was a contract of adhesion favoring one party only, and as such, the store could not enforce it.","The store, in that a contract was made at $50 each, which was the store's actual intended price for the sweaters.",A
"A young woman who attended a rock concert at a nightclub was injured when the band opened its performance with illegal fireworks that ignited foam insulation in the club's ceiling and walls. The young woman sued the radio station that sponsored the performance. The radio station has moved for summary judgment, claiming that it owed no duty to audience members. The evidence has established the following facts: The station advertised its sponsorship on the radio and in print, distributed free tickets to the concert, and in print, distributed free tickets to the concert, staffed the event with the station's interns to assist with crowd control, and provided a station disc jockey to serve as master of ceremonies. The master of ceremonies had the authority to stop or delay the performance at any time on the basis of any safety concern. The station knew or should have known that the band routinely used unlicensed, illegal fireworks in its performances. Should the court grant the radio station's motion for summary judgment? ","No, because there is sufficient evidence of knowledge and control on the part of the station to impose on it a duty of care to audience members.","No, because under respondeat superior, the radio station is vicariously liable for the negligent actions of the band.","Yes, because it is the band and the nightclub owners who owed audience members a duty of care.","Yes, because the conduct of the band in setting off illegal fireworks was criminal and setting off illegal fireworks was criminal and was a superseding cause as a matter of law.",A
"A man and a woman conspired to rob a local bank. After entering the bank, they pulled out guns and ordered everyone to the floor. They demanded money from the tellers but, unknown to them, one of the tellers activated a silent alarm. Within minutes, the bank was surrounded by police officers. A standoff ensued for several hours with the man and the woman barricaded inside the bank with several hostages. The man decided to try and make a getaway. He took the bank manager and, using her as a human shield, exited the bank. A shooting ensued, and both the man and the bank manager were killed by the police. This jurisdiction follows the agency theory of felony murder. The woman is charged with felony murder for the deaths of the man and the bank manager. The woman's attorney has filed a motion to dismiss both charges. The court should","grant the motion with respect to the bank manager's death, but deny the motion for the death of the man. ","grant the motion regarding the man's death, but deny the motion regarding the death of the bank manager. ",grant the motion regarding the deaths of both the man and the bank manager.,deny the motion regarding the deaths of both the man and the bank manager.,B
"A defendant was arrested and indicted separately for the crimes of robbery, rape, and felony murder with the underlying felony being the rape. With respect to double jeopardy, which of the following statements is most accurate?","The defendant may be tried for each offense separately and may be convicted of each, with sentences running consecutively. ","The defendant may be tried for the two separate offenses of robbery and felony murder and may be convicted of both, with sentences running consecutively. ","The defendant may be tried for the two separate offenses of robbery and felony murder and may be convicted of both, with the robbery sentence running consecutively with concurrent sentences for the felony murder and rape. ",The defendant may be tried for the single offense of felony murder and sentenced for that crime only.,C
"A customer bought a can of corn at a grocery store. While eating the corn later that evening, the customer was injured by a small piece of glass in the corn. The customer sued the canning company that had processed and canned the corn. At trial, the customer presented evidence that neither the customer nor any third party had done anything after the can of corn was opened that would account for the presence of the glass. Without any other evidence, is the customer likely to prevail? ","No, because it is possible that someone tampered with the can before the customer bought it.","No, because the customer has not shown any direct evidence that the canning company acted negligently.","Yes, because a jury may reasonably infer that the canning company acted negligently.","Yes, because the grocery store could not have discovered the piece of glass by reasonable inspection.  ",C
"Two defendants were prosecuted for conspiracy to rob a bank. An undercover officer of the local police department was the most important government witness. The defendants' principal defense was entrapment. The undercover officer testified for the government that he was present at a meeting with the defendants during which they plotted to rob the bank. He further testified that the idea of robbing the bank had first been suggested by one of the defendants, and that afterward, the undercover officer stated that he thought it was a good idea. Thereafter, the defendants' counsel called a witness who testified that the undercover officer had a bad reputation for truthfulness. The defense then called a second witness who proposed to testify that the undercover officer once perpetrated a hoax on the police department and was reprimanded. The second witness's proposed testimony is","admissible, because the hoax resulted in a reprimand of the undercover officer. ","admissible, because a hoax is probative of the undercover officer's untruthfulness. ","inadmissible, because it is essentially cumulative impeachment. ","inadmissible, because it is extrinsic evidence of a specific instance of misconduct. ",D
"A woman lived in a town that has an ordinance that prohibits littering. While the woman was taking a stroll one morning, she passed a man who was standing on the sidewalk and eating a doughnut. As he finished the doughnut, the man wiped his mouth with a paper napkin. He then wadded up the napkin into a small ball and dropped it on the sidewalk. Seeing this, the woman stopped and admonished the man for throwing his trash on the ground. She told him about the town ordinance that prohibits littering and said that a police officer could give him a citation that would require him to pay a fine. The man was very insulted and annoyed to be lectured like this. If the man institutes a civil action against the woman, the man will most likely",recover for battery.,recover for negligence.,"not recover, because the fact that an ordinance prohibited the man's conduct would preclude recovery as a matter of law. ","not recover, because the woman's conduct was customary and reasonable under the circumstances. ",D
"A man is suing a store for damages for injuries allegedly suffered when a can of soup fell on his toe while he was shopping. At trial, the store calls a member of the local community to testif' that the man's reputation for honesty is poor, and that he is known far and wide as the biggest storyteller intown. This testimony is","admissible, but only to show the likely exaggeration of the man's alleged injuries. ","admissible, but only to discredit the man's testimony that the accident happened in the manner in which he claims it did. ",inadmissible character evidence.,"inadmissible, because the man's testimony has not yet been rebutted by the store, and his credibility is, therefore, not yet susceptible to attack. ",B
"A pedestrian was walking on a crowded and busy city street when he fell down an opened manhole that he did not notice. City workers had put a small sign at the opening, stating ""Danger Do Not Walk"", but they did not barricade the area. The city defended the pedestrian's lawsuit by claiming not only that he was contributorily negligent but also that he voluntarily assumed the risk. Will the city prevail on the assumption of the risk defense?","Yes, because there was a sign and the pedestrian proceeded knowingly and voluntarily into the danger anyway.","No, because contributory negligence and assumption of the risk cannot both be claimed at the same time.","No, because the warning was not enough to tell him that there was an opened manhole in front of him.","Yes, he reasonably should have known of the danger under the circumstances.",C
"Water Works had a long-standing policy of offering employees $100 for suggestions actually used.  Due to inflation and a decline in the quantity and quality of suggestions received, Water Works decided to increase the award to $500.  Several suggestions were under consideration at that time.  Two days prior to the public announcement of the increase to $500, a suggestion by Farber was accepted and put into use.  Farber is seeking to collect $500. Farber is entitled to",$500 because Water Works had decided to pay that amount.,$500 because the suggestion submitted will be used during the period that Water Works indicated it would pay $500.,$100 in accordance with the original offer.,Nothing if Water Works chooses not to pay since the offer was gratuitous.,C
"A husband was sitting in his living room when his wife entered and asked what he'd like for dinner. The husband replied, ""I'm not hungry. I'm too angry at our next-door neighbor. "" The husband had had an argument with his neighbor earlier that day. The husband then said, ""I've got this burning desire to go next door and beat him up. "" As the husband was about to walk out the door, he turned to his wife and said, ""You want to come along and watch?"" The wife nodded, as if to say okay, and followed him next door. Moments later, the husband rang the doorbell, and the neighbor came to the door. After entering the home, the husband grabbed the nei'ghbor and began punching him in the face. Terribly frightened, the neighbor pleaded with the husband to stop. As the husband continued to hit him, the neighbor turned to the wife and said, ""Please tell him to get off me. "" The wife, who despised the neighbor, simply stood by and told her husband, ""Do it, honey. . . do it. "" The husband punched the neighbor repeatedly and afterward threatened to kill him. On a charge of battery, the wife should be found","not guilty, because the wife's hands never made contact with the neighbor. ","not guilty, because the wife's mere presence and oral encouragement will not make her guilty as an accomplice. ","guilty, because, with the intent to have the neighbor beaten, she shouted encouragement to her husband. ","guilty, because she aided and abetted her husband through her mere presence, plus her intent to see the neighbor beaten. ",C
"A breeder of dogs induced a purchaser to buy a puppy by representing that it was a registered basset hound, when in fact the breeder knew it was a mixed breed. The purchaser later discovered that the representation was false. She wants to sue to disaffirm the contract and get a refund. What legal theory would be best applicable to decide this case?",Unconscionability.,Breach of warranty.,Fraudulent inducement.,Fraud in the factum.,C
"A high school student was suspended for five days by school officials after he came to school wearing a beard. The school had a rule prohibiting any student from growing a beard or mustache while attending classes. The rule required an automatic five-day suspension in such cases. The student, who was aware of the rule prohibiting beards and mustaches, requested a trial-type hearing before the suspension was imposed. If the school board denies the student's request for a trial-type hearing, which of the following statements is most accurate?",The suspension violated the student's due process rights because it deprived him of his entitlement to an education.,The denial of a trial-type hearing violated the student's due process rights because the suspension was arbitrarily imposed.,"The denial of a trial-type hearing did not violate the student's due process rights because under the circumstances, he had no right to a hearing. ",There was no violation of the student's due process rights because his conduct could be deemed so injurious to school discipline that it warranted suspension prior to a hearing.,C
"A defendant in an automobile accident case is being sued by the estate of the driver of the other car. At trial, the defendant calls an eyewitness to the collision. The eyewitness testifies that after the crash, he immediately ran to the other driver's car to try to render assistance. The eyewitness observed the other driver covered with blood from the top of his head down to his toes. He was moaning, gasping, and crying out, ""I did not see the other car coming!"" The other driver died 10 minutes later. The estate's attorney objects to the eyewitness's testimony. The trial judge should rule that his testimony is",admissible as a declaration against interest.,admissible as a dying declaration.,inadmissible as hearsay not within any recognized exception.,"inadmissible, because this testimony cannot be admitted in civil cases. ",B
"Ethyl Entertainer contracted with Grenda Gardener to provide daily flower arrangements for Ethyl's monthly tea and bridge parties. Both parties signed an agreement for 24 months at $20 per month, which stated ""Any change to this contract must be written."" The contract proceeded; Grenda appeared each month with a suitable bouquet, and Ethyl paid her $20 cash. After 15 months, the market price of flowers skyrocketed. Grenda telephoned Ethyl and said she had to raise the price to $25 per month. Ethyl agreed to the increase, but insisted on paying for all the flowers at the end of the nine months left on the agreement. After the final nine months, Ethyl refused to pay Grenda more than $180. If Grenda sues Ethyl, the court will most likely to find",The statute of frauds does not apply to the original contract because it was under $500.,The contract modification from $20 to $25 per month was not enforceable because it was not supported by new consideration.,The modification from $20 to $25 per month was not enforceable because it was not written.,"The oral modification is conclusive evidence that the parties waived the ""written modifications only"" provision.",C
"A fan attended a minor league hockey game in his hometown. Unfortunately, he was only able to obtain tickets in the visitor's section. While at the game, he became involved in an altercation with a fan of the visiting team. When the fan cheered for a home team goal, the visiting fan turned around and threatened to kill the home fan if he didn't shut up. The home fan pulled a knife out of his pocket and stabbed the visiting fan in the arm. At his trial for aggravated assault, the home fan wants to introduce a statement from a witness who was standing next to the visiting fan at the game. The statement, which the witness had made earlier in the game when the home fan cheered for the home team, was, ""You'd better watch out. At a hockey game last week, the visiting fan put two guys in the hospital when they wouldn't shut up. One of them had 33 stitches after the visiting fan bashed his head against the steps. ""Assume that the witness's statement is offered as proof of the effect it produced in the home fan's mind. In this regard, the statement would most likely be",admissible as non-hearsay.,admissible as a present sense impression.,inadmissible as hearsay not within any recognized exception.,"inadmissible, because the statement is selfserving. ",A
